"Daily Weather Observations for Sydney, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  3 March 2026   IDCJDW2124.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,15.0,24.6,0,12.6,7.3,NW,65,14:01,20.7,35,7,NW,15,1006.6,22.8,28,8,WNW,30,1002.8
,2025-12-2,13.3,22.9,0,9.4,12.4,SSE,48,12:10,17.4,42,1,SW,20,1011.0,22.1,41,2,S,24,1012.7
,2025-12-3,14.0,26.3,0,8.8,12.8,NNE,43,16:46,19.4,55,1,W,9,1020.2,25.4,48,1,ENE,26,1016.6
,2025-12-4,16.4,29.6,0,8.4,13.1,ENE,46,15:25,22.8,57,0,WNW,2,1018.6,29.0,39,1,ENE,31,1013.6
,2025-12-5,18.2,37.8,0,13.2,13.2,NNE,48,17:47,25.9,38,1,WNW,11,1013.6,32.7,33,7,ENE,20,1009.6
,2025-12-6,22.5,33.8,0,18.0,5.7,NE,52,15:45,26.4,43,7,WNW,15,1008.1,32.1,42,7,SE,7,1001.9
,2025-12-7,19.8,23.5,1.6,12.2,0.3,SSW,59,06:28,20.0,73,8,S,20,1010.0,22.6,53,7,SE,28,1011.7
,2025-12-8,18.1,27.2,0,6.6,8.2,ENE,46,12:14,21.5,69,7,NE,17,1015.1,25.8,60,7,NE,30,1010.7
,2025-12-9,18.8,31.9,0,8.0,8.9,SSW,59,18:51,23.8,72,0,WNW,9,1013.1,27.6,60,0,E,19,1011.6
,2025-12-10,18.3,28.3,0,10.8,3.2,S,43,00:35,21.6,68,7,SSW,17,1020.9,27.6,54,3,SE,17,1017.4
,2025-12-11,19.4,26.4,0.8,7.0,3.2,S,50,00:04,21.7,67,7,SSE,24,1020.7,24.2,54,7,SSE,24,1020.4
,2025-12-12,19.0,22.7,3.0,5.0,0.4,ENE,46,06:31,19.4,92,8,NE,9,1018.1,21.0,78,7,ESE,19,1016.8
,2025-12-13,16.5,27.3,1.6,3.2,7.7,ENE,37,13:19,19.9,85,3,W,13,1013.0,23.9,68,7,ENE,20,1008.0
,2025-12-14,18.5,32.5,6.2,7.4,11.3,S,70,19:57,21.8,84,5,WNW,9,1005.7,29.2,55,6,E,24,1001.7
,2025-12-15,19.1,26.4,0.2,7.0,3.2,SSE,50,23:17,20.3,72,7,E,9,1014.1,23.8,54,5,ESE,24,1014.0
,2025-12-16,16.8,23.8,0.6,4.8,0.0,SE,37,00:59,20.1,62,8,E,15,1022.1,20.4,66,8,E,17,1022.5
,2025-12-17,18.1,27.4,0.2,3.2,,NE,48,15:58,22.6,69,5,NNE,9,1024.3,27.0,55,1,NE,30,1020.2
,2025-12-18,18.8,30.8,0,,,NNE,52,17:48,23.9,67,,E,15,1017.9,29.8,52,,E,15,1011.8
,2025-12-19,21.5,42.2,0,22.8,,SSW,52,17:19,29.0,51,0,WNW,15,1009.9,35.2,34,5,SSE,9,1005.9
,2025-12-20,23.0,34.4,2.4,10.8,,NNE,41,18:08,23.8,80,8,W,13,1010.1,32.4,42,4,ENE,20,1005.8
,2025-12-21,23.2,35.0,0.6,9.2,7.1,SSW,46,23:25,28.1,60,4,SW,6,1005.3,28.0,66,6,ESE,15,1001.4
,2025-12-22,23.4,32.3,1.0,6.2,5.7,WSW,48,05:04,24.6,44,6,WSW,20,1005.8,27.1,50,2,ESE,24,1005.4
,2025-12-23,20.8,33.4,0.4,6.8,11.6,SSE,57,15:41,24.2,73,4,W,7,1008.4,30.0,42,1,ESE,28,1008.7
,2025-12-24,18.2,31.2,0.2,10.8,13.0,SSE,48,22:03,22.6,65,4,N,17,1011.8,27.4,61,1,NE,26,1006.5
,2025-12-25,18.9,23.7,0,11.4,5.2,SSE,48,23:30,21.4,65,7,SSE,19,1011.8,20.3,56,7,SE,28,1010.9
,2025-12-26,15.0,18.7,0,9.0,1.6,SSE,43,07:44,16.3,64,7,SSE,24,1015.1,16.3,63,8,S,19,1015.8
,2025-12-27,15.0,23.6,0.2,3.8,11.2,SE,39,12:04,17.8,61,3,SSW,13,1018.0,22.3,44,3,SE,19,1016.0
,2025-12-28,15.2,23.9,0,9.8,11.1,SSW,48,12:25,19.1,58,5,SSW,24,1019.9,22.2,46,4,SSE,24,1020.8
,2025-12-29,14.9,25.5,0,7.2,12.3,ESE,41,13:41,19.6,56,5,SSE,13,1021.3,24.4,42,1,ESE,24,1019.0
,2025-12-30,15.1,25.7,0,9.8,13.0,E,31,14:16,19.1,61,1,WSW,4,1015.7,24.7,49,5,E,20,1010.7
,2025-12-31,16.8,24.9,0,7.8,3.4,,,,21.8,66,6,ESE,7,1010.9,23.3,57,8,ESE,13,1010.3
