"Daily Weather Observations for Sydney, New South Wales for January 2026"
"Prepared at 16:00 UTC on Monday  2 March 2026   IDCJDW2124.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,17.9,21.5,2.8,5.6,0.0,,,,18.5,88,8,SSE,20,1014.7,20.4,63,7,SSE,33,1015.9
,2026-01-2,17.3,26.0,3.0,5.2,3.0,E,35,19:59,21.4,57,7,SE,11,1018.9,22.6,58,7,ESE,19,1017.4
,2026-01-3,17.5,26.1,2.4,5.6,6.3,NNE,56,20:17,20.4,86,8,NE,17,1017.1,23.9,63,6,ENE,33,1013.3
,2026-01-4,19.7,32.3,0.2,7.8,7.3,S,46,15:25,22.9,75,1,ENE,9,1011.8,26.0,63,7,NE,15,1006.9
,2026-01-5,19.2,29.2,1.2,7.0,6.6,W,33,23:04,22.1,79,7,WSW,7,1013.3,29.2,50,4,ESE,19,1011.5
,2026-01-6,20.3,29.7,0,4.6,11.9,E,30,16:26,22.8,77,4,SSW,11,1017.5,28.2,57,1,E,19,1015.2
,2026-01-7,20.7,30.4,0,9.8,,NE,46,18:51,23.9,79,3,W,2,1019.3,30.0,57,1,ENE,19,1016.2
,2026-01-8,21.5,33.2,0,,,NE,46,21:13,25.9,72,,E,13,1016.3,31.3,52,,E,19,1013.3
,2026-01-9,21.3,33.3,0,23.0,,NNE,54,16:06,24.5,74,1,E,13,1014.1,32.2,46,1,ENE,17,1008.2
,2026-01-10,23.0,42.2,0,13.0,13.1,SSW,63,21:21,31.6,31,1,WNW,28,1005.5,40.7,20,0,NNW,20,1001.4
,2026-01-11,21.1,22.0,0,15.0,0.0,SSW,65,23:01,21.3,66,8,SSE,22,1014.5,19.5,76,8,SSE,19,1016.7
,2026-01-12,17.5,21.6,5.2,4.8,0.0,ESE,31,07:26,20.0,74,8,S,9,1019.5,21.0,79,8,ESE,15,1017.0
,2026-01-13,18.5,28.1,3.6,1.0,9.4,E,37,14:39,21.5,87,7,W,6,1012.7,27.9,63,1,E,28,1010.3
,2026-01-14,21.0,27.3,0.2,11.0,8.1,ENE,44,18:52,23.7,70,7,NE,17,1012.3,25.5,60,7,ENE,24,1010.1
,2026-01-15,19.9,27.0,3.6,9.0,4.4,ENE,54,15:40,24.2,73,7,NE,20,1009.4,24.7,79,7,ENE,31,1005.4
,2026-01-16,20.0,28.1,0.2,8.0,6.2,S,50,16:57,21.6,74,7,SSW,19,1004.5,27.2,57,3,SSE,24,1004.0
,2026-01-17,20.6,23.4,1.2,5.4,1.1,ESE,72,20:03,21.6,83,8,SE,33,1009.3,21.8,92,7,SE,20,1009.7
,2026-01-18,18.6,24.8,126.8,,6.7,E,59,00:29,18.9,94,8,SSE,30,1014.4,22.6,71,6,ESE,28,1014.3
,2026-01-19,18.2,25.9,7.6,8.6,5.4,ESE,37,23:06,19.1,92,8,NNW,7,1015.4,23.2,66,6,ESE,28,1013.5
,2026-01-20,17.4,26.0,2.8,5.8,8.5,ESE,35,10:23,20.1,82,6,WNW,13,1011.9,23.9,59,4,ESE,19,1010.1
,2026-01-21,16.8,26.4,0,7.2,13.0,ESE,30,11:14,21.0,72,2,SSW,17,1008.0,25.8,48,1,E,19,1005.8
,2026-01-22,18.4,25.1,0,7.2,7.3,SSE,61,14:11,22.2,67,1,SSW,9,1006.7,22.6,55,6,SSE,35,1009.8
,2026-01-23,18.1,24.8,0,10.4,7.5,SSE,33,23:04,20.4,67,7,W,7,1018.8,23.7,49,7,ESE,17,1017.1
,2026-01-24,17.9,27.7,0,6.4,12.4,NE,41,16:14,21.2,68,1,W,11,1015.2,25.3,66,0,E,26,1010.0
,2026-01-25,20.1,32.6,0,8.0,12.0,SSW,59,21:47,22.7,89,0,W,9,1008.8,31.6,56,1,E,17,1004.4
,2026-01-26,21.7,25.8,0,12.2,1.6,S,57,23:22,22.6,73,7,SSW,22,1013.0,24.5,58,7,S,26,1013.3
,2026-01-27,19.7,27.7,0,7.6,10.4,ENE,39,18:11,22.7,64,6,WNW,9,1015.3,27.6,55,2,ENE,24,1013.0
,2026-01-28,18.1,28.5,0,10.2,12.5,ENE,41,14:03,21.8,70,2,N,22,1013.0,27.8,55,0,ENE,28,1011.6
,2026-01-29,21.8,29.5,0,8.2,9.6,E,24,13:06,24.3,72,3,ESE,7,1019.0,29.2,53,2,E,20,1017.4
,2026-01-30,20.5,29.5,0,8.6,11.6,ENE,43,15:51,23.6,69,2,NNE,4,1017.8,28.7,57,0,NE,26,1013.0
,2026-01-31,21.9,29.3,0,9.8,12.0,NE,48,15:35,24.0,83,0,ESE,9,1009.2,28.3,65,1,ENE,24,1005.8
