"Daily Weather Observations for Sydney, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  4 March 2026   IDCJDW2124.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,16.4,22.7,11.4,2.4,3.2,W,50,02:51,18.3,86,7,NNW,6,1016.2,21.9,77,6,WSW,9,1013.8
,2025-11-2,18.1,25.0,1.0,10.8,3.0,SSW,20,23:01,18.3,89,7,WNW,13,1015.0,23.9,70,6,ESE,15,1011.7
,2025-11-3,17.9,25.2,0,4.0,6.8,NW,63,17:39,20.7,90,8,N,9,1005.8,24.3,77,7,ESE,19,1000.5
,2025-11-4,17.3,23.0,8.4,11.6,11.0,WSW,61,14:34,19.9,52,3,NW,20,1007.0,22.1,34,6,WNW,35,1006.0
,2025-11-5,13.9,27.1,0,10.6,12.8,NNW,39,02:10,17.8,45,0,W,17,1013.6,26.5,24,0,WNW,9,1011.8
,2025-11-6,13.6,25.2,0,7.0,,NE,46,18:05,18.9,54,1,WNW,15,1019.0,24.4,37,2,ENE,26,1015.0
,2025-11-7,18.2,24.7,0,,,NNE,44,18:37,20.7,72,8,N,11,1013.4,23.6,64,,ESE,7,1009.3
,2025-11-8,20.0,30.3,0,15.6,9.1,S,52,20:18,24.0,59,7,SE,4,1004.8,27.6,57,2,NE,19,998.7
,2025-11-9,16.2,22.2,0.4,9.4,12.9,WSW,54,07:05,18.0,48,1,W,30,1009.9,21.2,50,2,SSE,30,1011.2
,2025-11-10,14.7,23.6,0,8.8,12.1,ENE,44,15:37,19.0,56,2,W,11,1015.9,22.5,54,1,E,30,1012.7
,2025-11-11,14.5,28.7,0,8.0,12.1,WSW,74,16:47,19.1,68,3,WNW,19,1012.3,27.4,18,5,WNW,22,1007.3
,2025-11-12,11.4,22.2,0,11.8,12.9,SSW,39,23:06,15.5,35,1,SW,13,1020.0,20.8,33,0,E,22,1016.1
,2025-11-13,12.7,26.3,0,8.0,10.7,ENE,35,13:14,17.8,55,3,W,11,1014.8,24.1,44,,E,24,1008.3
,2025-11-14,17.3,24.5,0,9.6,7.8,SSW,41,05:03,19.0,71,7,S,20,1010.5,22.7,59,6,ESE,24,1009.1
,2025-11-15,18.9,25.2,0,7.0,3.8,N,56,15:05,20.9,78,7,WNW,15,1011.0,24.1,67,7,NE,26,1004.9
,2025-11-16,19.5,31.5,0.4,6.0,10.0,ENE,39,15:41,23.2,58,3,SSE,4,1004.0,28.9,34,2,ENE,22,999.5
,2025-11-17,18.4,23.7,0,9.4,7.8,W,54,12:50,20.0,37,3,WSW,26,1001.5,21.9,31,6,WSW,17,1002.6
,2025-11-18,14.4,26.7,0,8.0,13.2,NNE,43,18:06,19.9,44,0,W,20,1010.0,25.1,37,1,ENE,19,1007.2
,2025-11-19,16.0,29.3,0,9.8,11.7,NE,52,17:07,22.1,59,1,WNW,17,1011.2,27.8,39,1,NE,19,1007.0
,2025-11-20,18.5,25.5,0,10.2,6.1,SSE,46,14:40,20.5,75,7,SSE,20,1011.7,22.8,65,7,SSE,26,1010.4
,2025-11-21,15.6,20.8,2.6,5.6,0.0,S,50,04:40,16.2,91,8,SSW,20,1019.7,18.5,83,8,S,20,1019.9
,2025-11-22,15.9,22.4,4.8,5.0,0.0,ESE,30,10:13,20.8,75,7,ESE,13,1019.2,21.4,77,7,ESE,20,1016.2
,2025-11-23,18.3,28.2,11.2,2.2,9.7,SE,30,16:35,19.4,96,5,WNW,6,1008.7,25.9,66,3,ESE,20,1004.3
,2025-11-24,17.7,25.6,0,6.4,12.0,SSE,44,13:22,21.0,67,3,S,19,1008.0,22.8,61,3,S,24,1006.8
,2025-11-25,17.2,28.9,0,7.2,6.6,SSW,43,22:38,22.4,69,1,NE,9,1001.8,24.2,71,7,ENE,17,997.6
,2025-11-26,19.3,34.4,0,8.8,,WNW,81,12:09,28.9,47,3,NW,24,999.2,29.8,56,3,NNE,6,995.1
,2025-11-27,18.5,32.3,1.8,,,W,63,10:40,24.5,52,,WNW,11,1002.0,31.2,19,,WNW,15,1000.5
,2025-11-28,17.7,28.6,0,19.6,10.8,ENE,41,15:30,21.9,69,0,W,11,1009.4,27.1,57,6,E,28,1004.1
,2025-11-29,20.4,31.8,0,11.8,9.4,NNW,72,07:57,26.6,35,7,NNW,33,998.5,30.5,32,4,W,44,996.9
,2025-11-30,17.5,28.5,0,8.6,12.7,WSW,74,15:42,21.7,58,6,N,6,1006.5,27.9,25,7,WNW,20,1002.3
