"Daily Weather Observations for Sydney, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  6 March 2026   IDCJDW2124.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,9.3,20.7,0.2,4.6,10.7,W,39,08:16,13.1,56,2,W,20,1024.2,19.1,49,1,SE,17,1021.0
,2025-09-2,10.9,20.2,32.8,4.0,8.8,NNE,37,21:32,14.9,83,6,WNW,13,1024.5,19.6,52,1,ENE,20,1020.2
,2025-09-3,10.4,22.5,0,4.0,10.4,NNE,28,17:46,14.6,55,2,WNW,20,1022.2,22.2,29,1,W,9,1018.0
,2025-09-4,14.1,23.6,0.2,5.0,5.2,NNW,48,14:01,16.7,43,7,NNW,20,1019.9,23.2,25,7,NW,26,1015.5
,2025-09-5,11.2,19.8,0,7.6,9.5,SSE,39,14:20,16.8,67,1,SSW,19,1027.1,18.0,50,6,SSE,20,1027.5
,2025-09-6,11.0,21.1,0,4.0,9.4,NE,43,15:51,15.5,63,3,WNW,11,1032.1,20.3,54,1,ENE,26,1027.5
,2025-09-7,11.5,22.3,0,5.6,10.6,NE,41,17:42,16.2,74,1,W,7,1025.9,21.9,59,1,NE,22,1020.3
,2025-09-8,16.2,29.0,0,7.4,10.1,NNW,50,16:06,22.3,44,3,WNW,11,1018.1,28.0,35,7,NW,30,1012.7
,2025-09-9,16.1,26.1,2.2,8.0,4.7,W,43,04:21,19.2,73,5,W,6,1015.6,25.8,44,5,NNW,13,1010.7
,2025-09-10,16.1,17.1,6.8,3.8,0.0,SSE,76,16:54,16.5,93,8,ESE,26,1009.5,16.7,92,8,NE,4,1004.2
,2025-09-11,9.7,17.5,122.0,,4.4,SSW,63,13:19,11.1,98,8,W,22,1008.2,17.2,53,4,SSW,31,1013.5
,2025-09-12,9.6,21.1,8.4,2.4,10.9,W,26,05:20,15.7,64,1,W,13,1023.3,19.9,51,1,ESE,13,1021.2
,2025-09-13,10.5,21.3,0,4.8,10.4,W,22,08:23,15.0,58,1,W,17,1027.0,20.0,55,1,ENE,19,1023.9
,2025-09-14,11.1,23.9,0,5.6,10.7,NE,33,15:16,15.8,75,1,WNW,17,1025.4,21.2,64,1,NE,19,1019.6
,2025-09-15,11.1,27.9,0,6.0,10.7,WNW,33,13:45,19.2,55,1, ,Calm,1021.0,27.7,23,1,WNW,13,1015.5
,2025-09-16,18.7,27.0,0,7.6,5.6,,,,22.9,45,7,NNW,15,1015.6,25.8,41,6,N,28,1010.1
,2025-09-17,18.3,27.2,0,8.6,9.1,WSW,37,23:37,20.3,58,3,W,22,1015.5,24.6,51,1,ENE,17,1013.3
,2025-09-18,11.3,21.2,0.2,7.4,11.0,WSW,39,00:24,16.2,46,1,WNW,15,1025.1,20.2,51,1,E,17,1021.5
,2025-09-19,11.4,24.9,0,5.2,9.1,NW,41,21:43,16.4,61,1,W,19,1020.2,21.1,53,7,NE,15,1014.1
,2025-09-20,15.9,22.5,3.6,6.0,10.7,WNW,57,13:11,20.5,50,1,WSW,15,1007.5,21.8,29,1,W,30,1008.1
,2025-09-21,10.6,22.9,0,7.2,11.0,WSW,41,18:49,16.1,41,3,WNW,26,1017.3,22.9,35,1,E,20,1013.3
,2025-09-22,12.2,23.2,0,6.0,7.2,S,50,20:13,18.7,46,1,WNW,17,1018.2,18.9,61,7,SSE,26,1018.0
,2025-09-23,8.1,18.5,2.2,4.8,11.2,SSW,39,10:31,13.9,47,1,SW,11,1026.4,17.9,37,1,SSE,20,1023.3
,2025-09-24,9.6,26.1,0,5.0,11.0,W,50,13:19,16.8,48,4,WNW,24,1018.5,23.9,38,6,SE,17,1014.7
,2025-09-25,11.7,26.1,0,7.0,10.8,W,57,15:43,18.0,43,7,WNW,13,1016.7,25.6,18,6,WSW,28,1012.0
,2025-09-26,17.0,28.2,0,,6.3,NW,54,12:44,20.5,39,7,W,4,1014.1,27.4,22,6,NW,26,1009.9
,2025-09-27,20.3,28.6,0,,3.7,NNW,39,01:28,22.4,31,7,NNW,17,1014.5,27.6,29,7,N,20,1010.0
,2025-09-28,18.6,25.2,0,,8.7,SSW,46,06:20,20.6,73,3,SSE,19,1014.2,22.5,68,6,ESE,24,1012.9
,2025-09-29,16.1,24.0,0,,8.6,SSW,31,05:03,19.4,68,6,W,15,1019.5,22.6,61,2,SSW,13,1015.2
,2025-09-30,15.5,25.6,0,,10.3,NNE,44,18:28,20.9,75,7,NNE,20,1013.8,24.6,66,1,NE,24,1006.4
